Parameter	Input value	Error	Mean	Median	Minimum	2th%	9th%	25th%	75th%	91th%	98th%	Maximum
					-43.2%	-34.6%	-24.9%	-14.6%	26.4%	98.1%	130.3%	170.8%

Duration W&W87-Exp (h)	121.3		 Inf	135.4	43.6	58.2	78.1	101.1	188.3	347.9	4826.6	 Inf
					-67.8%	-57.1%	-42.3%	-25.3%	39.0%	156.9%	3463.6%	 Inf%
Duration W&W87-PL (h)	176.0		223.1	186.2	72.0	90.4	115.1	149.0	235.5	311.3	425.2	20006.1
					-61.3%	-51.4%	-38.2%	-20.0%	26.5%	67.2%	128.4%	10644.8%
Duration W&W87-WBL (h)	95.1		118.7	103.6	31.8	46.1	61.4	78.0	142.3	201.9	292.1	466.7
					-69.3%	-55.5%	-40.7%	-24.7%	37.4%	94.9%	182.1%	350.6%
Duration Ma09-Exp (h)	71.0		 Inf	80.5	20.4	33.0	44.6	59.8	114.8	203.2	3062.9	 Inf
					-74.7%	-59.0%	-44.6%	-25.8%	42.6%	152.4%	3703.6%	 Inf%
Duration Ma09-PL (h)	102.9		124.4	111.8	32.0	51.8	65.6	84.8	144.8	180.1	249.1	3970.5
					-71.4%	-53.7%	-41.4%	-24.2%	29.5%	61.1%	122.8%	3451.0%
Duration Ma09-WBL (h)	55.6		70.5	61.5	15.5	25.5	34.4	46.1	84.6	119.6	177.7	265.8
					-74.8%	-58.5%	-44.0%	-25.1%	37.5%	94.5%	188.9%	332.2%
Duration D&B12-Exp (h)	26.6		 Inf	28.2	13.0	17.5	19.7	23.4	38.8	67.1	955.7	 Inf
					-53.8%	-38.0%	-29.9%	-16.9%	38.0%	138.4%	3294.4%	 Inf%
Duration D&B12-PL (h)	38.6		45.3	40.0	20.2	26.9	30.6	34.9	48.1	57.2	75.7	2152.7
					-49.4%	-32.7%	-23.6%	-12.7%	20.1%	43.0%	89.0%	5279.2%
Duration D&B12-WBL (h)	20.9		25.3	22.3	 9.9	12.4	15.2	18.0	28.9	42.8	54.0	65.4
					-55.7%	-44.3%	-31.8%	-19.5%	29.6%	91.9%	141.9%	193.2%
